"RegistryPath","Path","Name","Kind","Value"
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetCaps\{DE351A43-8E59-11D0-8C47-00C04FC295EE},FuncName,String,CryptSIPGetCaps
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetSealedDigest\{9BA61D3F-E73A-11D0-8CD2-00C04FC295EE},Dll,String,WINTRUST.DLL
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetSealedDigest\{9BA61D3F-E73A-11D0-8CD2-00C04FC295EE},FuncName,String,CryptSIPGetSealedDigest
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetSealedDigest\{C689AAB8-8E78-11D0-8C47-00C04FC295EE},Dll,String,WINTRUST.DLL
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetSealedDigest\{C689AAB8-8E78-11D0-8C47-00C04FC295EE},FuncName,String,CryptSIPGetSealedDigest
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetSealedDigest\{C689AAB9-8E78-11D0-8C47-00C04FC295EE},Dll,String,WINTRUST.DLL
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetSealedDigest\{C689AAB9-8E78-11D0-8C47-00C04FC295EE},FuncName,String,CryptSIPGetSealedDigest
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetSealedDigest\{C689AABA-8E78-11D0-8C47-00C04FC295EE},Dll,String,WINTRUST.DLL
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetSealedDigest\{C689AABA-8E78-11D0-8C47-00C04FC295EE},FuncName,String,CryptSIPGetSealedDigest
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetSealedDigest\{DE351A42-8E59-11D0-8C47-00C04FC295EE},Dll,String,WINTRUST.DLL
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetSealedDigest\{DE351A42-8E59-11D0-8C47-00C04FC295EE},FuncName,String,CryptSIPGetSealedDigest
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetSealedDigest\{DE351A43-8E59-11D0-8C47-00C04FC295EE},Dll,String,WINTRUST.DLL
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetSealedDigest\{DE351A43-8E59-11D0-8C47-00C04FC295EE},FuncName,String,CryptSIPGetSealedDigest
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetSignedDataMsg\{000C10F1-0000-0000-C000-000000000046},Dll,String,C:\Windows\SysWOW64\MSISIP.DLL
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetSignedDataMsg\{000C10F1-0000-0000-C000-000000000046},FuncName,String,MsiSIPGetSignedDataMsg
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetSignedDataMsg\{06C9E010-38CE-11D4-A2A3-00104BD35090},Dll,String,C:\Windows\SysWOW64\wshext.dll
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetSignedDataMsg\{06C9E010-38CE-11D4-A2A3-00104BD35090},FuncName,String,GetSignedDataMsg
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetSignedDataMsg\{0AC5DF4B-CE07-4DE2-B76E-23C839A09FD1},Dll,String,C:\Windows\SysWOW64\AppxSip.dll
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetSignedDataMsg\{0AC5DF4B-CE07-4DE2-B76E-23C839A09FD1},FuncName,String,AppxSipGetSignedDataMsg
HiveKeyLocalMachine,Software\Microsoft\Cryptography\OID\EncodingType 0\CryptSIPDllGetSignedDataMsg\{0F5F58B3-AADE-4B9A-A434-95742D92ECEB},Dll,String,C:\Windows\SysWOW64\AppxSip.dll
